web_scraper_order,web_scraper_start_url,source,source_encoded,job_title,company,location,province,job_detail,description,requirements,job_benefits,skills,skills_clean,skills_count,education,education_encoded,is_duplicate_job
1779164489-1,https://glints.com/id/opportunities/jobs/explore?keyword=AI+Engineer&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1,Glints,0,"Engineering Staff (Kawah Ijen, Banyuwangi)",Pt Bobobox Mitra Indonesia,"Kab. Banyuwangi, Jawa Timur",Jawa Timur,https://glints.com/id/opportunities/jobs/engineering-staff-kawah-ijen-banyuwangi/a28a6d30-5871-4ea5-9974-eae63b743f95?utm_referrer=explore&traceInfo=6f9964ffbf5eb0d8f7c6bdc09967bd7c,"Bersedia ditempatkan di Bobocabin Kawah IJen, BanyuwangiTanggung JawabMelakukan maintenance harian dan preventive maintenance pada fasilitas bangunan, mekanikal, elektrikal, dan plumbing di cabang.Memiliki pengetahuan dasar mengenai perawatan peralatan dan fasilitas bangunan.Memastikan semua peralatan dan fasilitas di cabang berfungsi dengan baik dan lancar.Melakukan perbaikan ringan sesuai dengan SOP yang berlaku.Mengelola dan menjaga inventaris alat kerja dan peralatan teknik di cabang.Merespon dengan cepat jika ada masalah teknis dan segera melaporkan jika ada masalah yang mendesak.Melakukan pengecekan rutin dan membuat laporan maintenance kepada tim cabang dan Branch Operations Manager.Memberikan pelatihan dasar kepada host dan cleaner untuk mengatasi masalah teknis ringan.Menangani dan menyelesaikan tiket laporan masalah teknis dari cabang.KualifikasiBersedia ditempatkan di area yang ditentukan oleh manajemen (Bandung)Pendidikan minimal SMA/SMK, lebih diutamakan Diploma (D3) Teknik seperti: Teknik Listrik / ElektronikaTeknik Mekatronika / Elektromekanikal atau jurusan teknik lainnya yang relevanMemiliki minimal 1 tahun pengalaman kerja sebagai teknisi atau engineering.Memiliki pengalaman sebagai Hotel Maintenance / Hotel Engineering menjadi nilai tambah.Bersedia lembur dan bekerja di luar jam operasional jika diperlukan.",PersyaratanKerja di lokasiPengalaman kurang dari 1 tahunMinimal SMA/SMK,Benefit KerjaTHRHealth InsuranceWork Insurance,SkillsPlumbingMaintenance EngineeringElectrical Maintenance,Plumbing | Maintenance Engineering | Electrical Maintenance,3,SMA/SMK,3,0
1779164492-2,https://glints.com/id/opportunities/jobs/explore?keyword=AI+Engineer&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1,Glints,0,Digital Marketing,Tiba Tiba Pindahan,"Jakarta Selatan, Dki Jakarta",Dki Jakarta,https://glints.com/id/opportunities/jobs/digital-marketing/2e33d8fb-5edd-4011-a623-89a083c4fece?utm_referrer=explore&traceInfo=6f9964ffbf5eb0d8f7c6bdc09967bd7c,"WE’RE HIRINGDIGITAL MARKETING (HYBRID)TITIPAN sedang mencari talenta terbaik yang ingin tumbuh bersama dalam membangun sistem layanan pindahan modern di Indonesia.Kami bukan sekadar jasa pindahan.Kami membangun pengalaman pindahan yang lebih aman, terstruktur, dan minim ribet bagi masyarakat Indonesia.📍 Digital Marketing📌 Sistem kerja: Hybrid (WFH & WFO sesuai kebutuhan)💰 Gaji: Rp5.000.000/bulan🎁 Bonus performa & insentif di luar gajiTanggung jawab utama :• Mengelola dan mengoptimalkan Meta Ads & Google Ads• Menganalisis performa campaign, CPL, ROAS, dan conversion rate• Menyusun strategi funnel marketing & retargeting• Berkolaborasi dengan tim admin, CRM, dan operasional untuk meningkatkan closing• Menganalisis perilaku customer serta kualitas leads• Menyusun laporan performa mingguan dan bulananKualifikasi :✔ Memahami Meta Ads dan digital advertising✔ Terbiasa membaca dashboard serta menganalisis data campaign✔ Memiliki growth mindset dan rasa ownership yang tinggi✔ Mampu bekerja secara individu maupun dalam tim✔ Tertarik pada dunia startup dan bisnis yang berkembang cepat✔ Nilai tambah apabila memahami CRM, AI tools, dan Google Ads",PersyaratanHybrid3 - 5 tahun pengalamanMinimal Sarjana (S1)21-30 tahun,Benefit KerjaSales CommissionTHRPerform BonusEmployee Award,SkillsDigital MarketingGoogle AnalyticsGoogle AdsMarketing CommunicationsCRMKPI ReportsMeta AdsLeadsContent MarketingContent Strategy,Digital Marketing | Google Analytics | Google Ads | Marketing Communications | CRMKPI Reports | Meta Ads | Leads | Content Marketing | Content Strategy,9,Sarjana (S1),6,0
1779164495-3,https://glints.com/id/opportunities/jobs/explore?keyword=AI+Engineer&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1,Glints,0,It Network Engineering,Pt Sinar Digital Nusantara,"Bandung, Jawa Barat",Jawa Barat,https://glints.com/id/opportunities/jobs/it-network-engineering/03122542-9163-47a6-b708-fdd1510e0421?utm_referrer=explore&traceInfo=6f9964ffbf5eb0d8f7c6bdc09967bd7c,"Job Description : Mengelola jaringan DC, DRC, Head Office dan CloudMengelola firewall, routing, NAT, VPN, tunneling dan segmentasi jaringanMengelola perangkat jaringan (Access Point, Router, Switch dan NGFW)Mengelola konektivitas antar site, termasuk VPN site-to-site dan remote access VPNMengelola konektivitas on-premise ke Google Cloud melalui Cloud VPN, SDN-WAN atau MPLSMengelola jaringan WiFi kantor, access point, dan jaringan perangkat pendukungMelakukan hardening jaringan dan implementasi best practice keamanan jaringanMelakukan monitoring performa jaringan, latency, availability, traffic, dan bottleneckMenangani troubleshooting insiden jaringan secara cepat dan akuratMembuat dokumentasi topology, incident report, dan change recordBerkoordinasi dengan tim system, cloud, security, dan vendor data centerRequirements: Pendidikan min. D3 jurusan Teknik Informatika, Ilmu Komputer, Ilmu komunikasi, Teknologi InformasiMemiliki pengalaman dibidang yang sama minimal 3-5 tahunMemahami konsep Keamanan Jaringan, Load-Balancing, Failover dan High Availability (sangat diutamakan)Dapat mengkonfigurasi Routing, NAT, VLAN, ACL, VPN dan TunnelingDapat mengkonfigurasi Site-to-site VPN, remote access VPN, SD-WAN dan MPLSDapat melakukan segmentasi jaringan (hybrid, on-premis dan cloud)Dapat mengkonfigurasi Firewall, Policy, Rules, IPS dan IDS pada perangkat NGFWDapat melakukan hardening jaringan dan implementasi best practice keamanan jaringan (sangat diutamakan)Dapat Melakukan monitoring performa jaringan, latency, availability, traffic dan bottleneckDapat melakukan troubleshooting jaringan DC, DRC, office dan CloudMenguasai perangkat NGFW Fortigate 60F (sangat diutamakan)Memiliki kemampuan komunikasi yang baik lintas divisiBersedia mendapatkan on-site emergency untuk case critical",PersyaratanKerja di lokasi3 - 5 tahun pengalamanMinimal Sarjana (S1)25-33 tahun,Benefit KerjaWork InsuranceHealth InsuranceAnnual LeaveTHRCareer Path,SkillsCoba lanjut melamar - 1 dari 10 dimilikiTeamworkLANNetwork MaintenanceNetwork SecurityNetwork MonitoringIP NetworkingCiscoFirewallNetwork ConfigurationNetwork Troubleshooting,Teamwork | LANNetwork Maintenance | Network Security | Network Monitoring | IP Networking | Cisco | Firewall | Network Configuration | Network Troubleshooting,9,Sarjana (S1),6,0
1779164497-4,https://glints.com/id/opportunities/jobs/explore?keyword=AI+Engineer&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1,Glints,0,Senior Full Stack Developer,Mindflex Education Pte. Ltd,"Jakarta Selatan, Dki Jakarta",Dki Jakarta,https://glints.com/id/opportunities/jobs/senior-full-stack-developer/f8af6bc7-9913-4105-bc4a-3453bc34e0a4?utm_referrer=explore&traceInfo=6f9964ffbf5eb0d8f7c6bdc09967bd7c,"We are a Singapore-based company looking for a Senior Full-Stack Developer (min 5 years of full-stack experience) who enjoys building reliable, well-structured systems and takes pride in clean, efficient code. You will be working closely with our Jakarta-based Tech Lead as well as our Singapore development team.You’ll work across the full stack - from database design to front-end and mobile components — and play a key role in improving performance, scalability, and long-term maintainability of our products.This role is hands-on and ownership-driven, ideal for someone who likes solving real-world problems and improving systems, not just shipping features.Technical Skills Required- PHP (advanced / expert level)- Typescript, React and Nodejs- SQL (strong fundamentals and query optimisation)- API development (RESTful APIs, backend logic, integrations)- AI integrations (LLM, automation, or AI-coding tools)- Understanding of web architectureNice To Have- Experience with React Native & Expo- WordPress (customisation, plugins, performance tuning)- Familiarity with Jira for task and sprint management- Comfortable with GitHub for version control and deployments- Exposure to manual and/or automated testing- Experience with performance tuning, debugging, and production issue resolution- Prior experience working with remote or cross-border teams- Comfortable with working on legacy code, boring technology or research on bleeding edge stackResponsibilities- Design, build, and maintain end-to-end web and mobile features, from database to UI- Refactor and improve existing systems to enhance performance and reliability- Write clean, readable, and maintainable code following best practices- Ensure cross-browser and cross-device compatibility- Develop and maintain reusable components and shared libraries- Identify bottlenecks and implement performance optimisations across the stack- Collaborate closely with designers, product managers, and other developers- Take ownership of tasks and proactively suggest improvements to systems and processes- Contribute to technical discussions and help raise overall code qualityOther Information- You will be working with a Singaporean team, and also with other colleagues from Indonesia as we scale up our development team.- Candidates must be comfortable in communicating in English (spoken and written) & able to collaborate effectively with Singapore-based stakeholders and Indonesian-based teammates",PersyaratanRemote/Dari rumah5 - 10 tahun pengalamanMinimal Sarjana (S1)24-40 tahun,Benefit KerjaFlexible HoursFree MealsTraining/Certification,SkillsWordPress DevelopmentMySQLPHPLaravelTypeScriptPostgreSQLAI Systems,Word | Press Development | My | SQLPHPLaravel | Type | Script | Postgre | SQLAI Systems,8,Sarjana (S1),6,0
1779164500-5,https://glints.com/id/opportunities/jobs/explore?keyword=AI+Engineer&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1,Glints,0,Technical Support Specialist (L2) Redis,Pt. All Data International,"Jakarta Barat, Dki Jakarta",Dki Jakarta,https://glints.com/id/opportunities/jobs/technical-support-specialist-l2-redis/4864fff7-60e3-4f97-bc42-507664b53435?utm_referrer=explore&traceInfo=6f9964ffbf5eb0d8f7c6bdc09967bd7c,"Technical Support Specialist (L2) RedisBertanggung jawab sebagai eskalasi teknis utama untuk operasional Redis 24/7 dan menjadi penghubung langsung dengan Redis Principal. Job Deskripsi:1. Tier-2 Escalation: Troubleshooting insiden mayor/kompleks. 2. Operational Oversight: Memastikan stabilitas sistem 24/7. 3. Maintenance Lead: Memimpin eksekusi patching, upgrade, dan optimasi klaster terjadwal. 4. Principal Liaison: Konsultasi rutin dan darurat dengan pihak Redis Principal untuk resolusi bug atau arsitektur. Technical Qualifications:1. Redis Core: Menguasai struktur data, Persistence (RDB/AOF), dan Eviction Policies. 2. High Availability: Pengalaman mendalam mengelola Redis Sentinel dan Redis Cluster (Sharding & Replication). 3. Performance Tuning: Mahir menganalisis latensi, utilisasi memori, dan optimasi redis.conf. 4. Monitoring: Terbiasa dengan integrasi Prometheus, Grafana, atau Redis Insight. 5. System Environment: Kuat di administrasi Linux/Unix dan shell scripting. Interpersonal Skills 1. Fluent English: Wajib mahir (verbal & tulisan) untuk koordinasi dengan global support. 2. Crisis Management: Tenang dan komunikatif saat memimpin penanganan major outage.",PersyaratanKerja di lokasi3 - 5 tahun pengalamanMinimal Sarjana (S1)24-38 tahun,Benefit KerjaCareer PathHealth InsuranceTHRWork Insurance,SkillsTechnical SupportNetwork TroubleshootingTicketing SystemTroubleshootingCustomer ServiceIT Support,Technical Support | Network Troubleshooting | Ticketing System | Troubleshooting | Customer Service | IT Support,6,Sarjana (S1),6,0
1779164502-6,https://glints.com/id/opportunities/jobs/explore?keyword=AI+Engineer&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1,Glints,0,Facilities Officer,Gear Inc. Indonesia,"Surabaya, Jawa Timur",Jawa Timur,https://glints.com/id/opportunities/jobs/facilities-officer/1b094dff-ef48-4a19-8f60-67aecb516101?utm_referrer=explore&traceInfo=6f9964ffbf5eb0d8f7c6bdc09967bd7c,"DescriptionThe Facilities Officer is tasked with overseeing the day-to-day operations of the facility, which includes vendor management for access control and infrastructure, implementing preventive maintenance, and ensuring compliance with safety and health regulations.ResponsibilitiesHands-on for setup and management of vendors for card access, CCTV, mechanical, and electrical infrastructure.Oversee day-to-day operations of the facility, ensuring a safe, secure, and well-maintained working environment.Custodial service coordination with the cleaning service and security regarding daily operations.Identify opportunities for cost savings and efficiency improvements.Ensure compliance with health and safety regulations and standards.Implement a preventive maintenance program for all equipment and systems.Maintain accurate records of facility-related activities, expenses, and compliance documentation.Maintaining a proper filing system and ensuring that all staff have easy access to it.Keeping records of office assets (workstation labels, desktop/laptop labels, etc.)Maintain emergency response plans, including fire drills and evacuation procedures.Coordinate with project teams and contractors to ensure timely and successful project completion.Generate reports for management on facility performance and initiatives.Any other relevant responsibilities and duties as requested by the GA Manager.Key skills and experienceBachelor’s degree in Facility Management, Project Management, or a related technical field (Electrical or Mechanical Engineering preferred)Prior experience in the built environment (MEPF - Mechanical, Electrical, Plumbing, and Facilities) and security access management or relevant field, with a minimum of 2 years.Experience in managing business continuity and disaster recovery processes.Proven experience in facility management, preferably in a BPO or corporate environment.Familiarity with environmental sustainability practices.Familiarity with local built environment regulations.Able to operate advanced MS Office, especially MS Excel.Have experience working in a fast-paced & growing company environment.Exceptional analytical and problem-solving abilities.Must be good in spoken and written English (English B1 - Required)Strong verbal as well as non-verbal communication skills.Time management and organizational skills.",PersyaratanKerja di lokasi1 - 3 tahun pengalamanMinimal Sarjana (S1),Benefit KerjaTHRCareer PathInsuranceAnnual LeaveLaptop ProvidedHealth InsuranceWellness FacilitiesTeam-building events,SkillsHVACMechanical MaintenanceElectrical MaintenanceMaintenance EngineeringVendor ManagementOffice Administration,HVACMechanical Maintenance | Electrical Maintenance | Maintenance Engineering | Vendor Management | Office Administration,5,Sarjana (S1),6,0
1779164505-7,https://glints.com/id/opportunities/jobs/explore?keyword=AI+Engineer&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1,Glints,0,Estimator,Arkitektori,"Jakarta Barat, Dki Jakarta",Dki Jakarta,https://glints.com/id/opportunities/jobs/estimator/fcd37c5a-586a-4aa6-bddb-815c5682c366?utm_referrer=explore&traceInfo=6f9964ffbf5eb0d8f7c6bdc09967bd7c,"Arkitektori adalah sebuah perusahaan kontraktor yang telah lama beroperasi dalam bidang desain interior untuk retail dan perumahan. Dkami terus berusaha menciptakan ruang-ruang yang indah dan fungsional. Kami membutuhkan individu yang berdedikasi tinggi dan memiliki keterampilan yang relevan untuk mendukung pertumbuhan kami. Sebagai Estimator Civil Engineer di Arkitektori, Anda akan bertanggung jawab atas :

Penghitungan material, biaya, dan estimasi proyek yang akurat. Tugas-tugas utama Anda termasuk mengembangkan estimasi anggaran untuk berbagai proyek, memastikan bahwa estimasi tersebut sesuai dengan standar industri, serta bekerja sama dengan tim desain untuk memastikan semua kebutuhan struktural dipenuhi. Anda juga akan melibatkan diri dalam pemilihan material dan metode konstruksi yang efektif serta memastikan bahwa semua proses mematuhi regulasi yang berlaku. Keterampilan seperti teamwork, structural BIM, Microsoft Excel, AutoCAD, dan Microsoft Office akan sangat berguna dalam posisi ini.Untuk mengisi posisi ini, kami meminta kandidat memiliki pendidikan minimal SMA/SMK, dengan pengalaman kerja antara 3 hingga 5 tahun di ini, Kandidat harus memiliki keterampilan teamwork yang baik,  kemampuan menggunakan Microsoft Excel, AutoCAD, dan Microsoft Office untuk keperluan analisis dan presentasi proyek.

Terimakasih",PersyaratanKerja di lokasi3 - 5 tahun pengalamanMinimal SMA/SMK26-35 tahun,Benefit KerjaTHR,SkillsCoba lanjut melamar - 2 dari 5 dimilikiMicrosoft ExcelTeamworkMicrosoft OfficeAutoCADStructural BIM,Microsoft Excel | Teamwork | Microsoft Office | Auto | CADStructural BIM,5,SMA/SMK,3,0
1779164508-8,https://glints.com/id/opportunities/jobs/explore?keyword=AI+Engineer&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1,Glints,0,It Project Coordinator (Telco Domain),Pt Digital Tech Asia,"Yogyakarta, Di Yogyakarta",Di Yogyakarta,https://glints.com/id/opportunities/jobs/it-project-coordinator-telco-domain/fe2a9bcc-cc82-4ba7-a49a-683009c2700e?utm_referrer=explore&traceInfo=6f9964ffbf5eb0d8f7c6bdc09967bd7c,"Position : IT Project Coordinator / Project Manager (PM)Employment Type : Contract – 6 Months (extendable based on client request)Overviewonbehalf our client at Telco Industry, We are looking for an experienced and proactive IT Project Coordinator / Project Manager to lead and coordinate end-to-end IT and Telecommunication projects. The ideal candidate will have strong project delivery capabilities, solid knowledge of Telco environments, and the ability to bridge business and technical teams effectively.This role requires excellent communication skills, strong stakeholder management, and hands-on experience managing Agile and/or Waterfall projects.Key ResponsibilitiesEnd-to-End Project DeliveryManage the full lifecycle of IT/Telco projects from initiation to deployment and support.Ensure project delivery is completed on time, within scope, and within budget.Stakeholder ManagementAct as the main point of contact between internal teams, vendors, and external clients.Coordinate with Mobile Network Operators (MNOs), infrastructure providers, and business stakeholders.Planning & GovernanceDevelop project plans, timelines, resource allocation, and budget monitoring.Lead Agile/Scrum ceremonies or manage Waterfall milestones depending on project needs.Risk & Issue ManagementIdentify project risks proactively and implement mitigation strategies.Resolve project issues and bottlenecks to minimize delivery impact.Technical CoordinationCollaborate closely with Developers, Architects, QA Engineers, and business teams.Ensure technical solutions align with business requirements and operational objectives.Quality AssuranceEnsure project deliverables comply with quality standards and Telco industry regulations.Monitor implementation quality and project documentation.RequirementsExperience :Middle Level: 3–5 years of IT Project Management experience.Senior Level: 6+ years of experience managing large-scale IT/Telco projects.Industry KnowledgeStrong understanding of Telecommunication domains such as:BSS/OSSDigital Applications5GIoTVAS (Value Added Services)Core Network InfrastructureMethodologiesHands-on experience with Agile/Scrum and Waterfall project management methodologies.ToolsProficient in project management tools such as:JiraConfluenceMicrosoft ProjectTrelloEducationBachelor’s degree in: Computer Science , Information Technology, Telecommunications EngineeringRelated fieldsCommunication : Strong verbal and written communication skills in: English & Bahasa IndonesiaAdditional RequirementImmediate joiners are highly preferred.Preferred QualificationsPMP, PRINCE2, or CSM certification is a strong advantage.Previous experience as:Software EngineerSystems AnalystNetwork Engineer",PersyaratanKerja di lokasi3 - 5 tahun pengalamanMinimal Sarjana (S1),Benefit KerjaTHRHealth InsuranceWork InsuranceCareer Path,SkillsProject ManagementProject CoordinationJira,Project Management | Project Coordination | Jira,3,Sarjana (S1),6,0
1779164511-9,https://glints.com/id/opportunities/jobs/explore?keyword=AI+Engineer&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1,Glints,0,Arsitek & Desain Interior,Pt Bumi Mulia Sentosa Abadi - City Centrum Mall,"Samarinda, Kalimantan Timur",Kalimantan Timur,https://glints.com/id/opportunities/jobs/arsitek-and-desain-interior/7490d4be-ca6e-4e63-bd1a-4b200a0094c1?utm_referrer=explore&traceInfo=6f9964ffbf5eb0d8f7c6bdc09967bd7c,"Mengawasi proses pembangunan agar sesuai desain.
Berkoordinasi dengan kontraktor, engineer, dan klien.
Membuat gambar kerja, denah, dan desain bangunan.
Mengawasi pemasangan interior di lapangan
Membuat layout interior dan konsep visual",PersyaratanKerja di lokasi1 - 3 tahun pengalamanMinimal Sarjana (S1),Benefit KerjaTHRWork InsuranceMeal AllowanceAnnual LeaveHealth Insurance,SkillsCoba lanjut melamar - 1 dari 6 dimilikiTeamworkMicrosoft OfficeRevitArchitectural DesignAutoCADSketchUp,Teamwork | Microsoft Office | Revit | Architectural Design | Auto | CADSketch | Up,7,Sarjana (S1),6,0
1779164513-10,https://glints.com/id/opportunities/jobs/explore?keyword=AI+Engineer&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1,Glints,0,3D Video Animator,Pt Warna Warni Media,"Surabaya, Jawa Timur",Jawa Timur,https://glints.com/id/opportunities/jobs/3d-video-animator/1fc3efe8-7ece-423c-be14-2f8238a4f617?utm_referrer=explore&traceInfo=6f9964ffbf5eb0d8f7c6bdc09967bd7c,"Deskripsi PekerjaanMembuat dan memvisualisasikan desain media digital dalam berbagai format, meliputi gambar statis, video, animasi, dan desain 3D sesuai kebutuhan proyek.Mengembangkan konsep visual kreatif dengan memanfaatkan teknologi AI (Artificial Intelligence) untuk meningkatkan efisiensi dan kualitas desain.Melakukan koordinasi dengan tim internal (konten, marketing, atau produk) dalam proses pembuatan desain grafis, video, dan aset visual lainnya.Mengelola proyek desain dari tahap konsep hingga final output, serta memastikan hasil sesuai dengan brief, spesifikasi, dan timeline yang ditentukan.Melakukan revisi desain berdasarkan feedback secara profesional dan tepat waktu.Mengikuti tren desain, teknologi AI, dan visual 3D terbaru untuk menjaga kualitas dan relevansi karya.Mengerjakan tugas lain yang masih berada dalam lingkup dan ranah desain visual.KualifikasiPendidikan minimal D3/S1 di bidang Desain Grafis, Desain Komunikasi Visual, Multimedia, atau bidang terkait.Memiliki kemampuan desain 3D (contoh: modeling, texturing, rendering, atau animasi 3D).Menguasai software desain dan 3D seperti Blender, Cinema 4D, 3ds Max, Maya, atau sejenisnya.Terbiasa menggunakan tools AI untuk desainMenguasai software pendukung desain grafis dan video seperti Adobe Photoshop, Illustrator, After Effects, Premiere Pro, atau tools setara.Memiliki pemahaman komposisi visual, warna, lighting, dan storytelling visual.Mampu bekerja secara mandiri maupun dalam tim, serta memiliki komunikasi yang baik.Mampu mengelola waktu, terbiasa bekerja dengan deadline, dan memiliki perhatian terhadap detail.Memiliki portofolio desain 3D dan/atau karya berbasis AI menjadi nilai tambah.",PersyaratanKerja di lokasi1 - 3 tahun pengalamanMinimal Diploma (D1 - D4),Benefit KerjaTHRWork InsuranceHealth Insurance,SkillsAdobe AuditionAdobe After EffectsAdobe Illustrator,Adobe Audition | Adobe After Effects | Adobe Illustrator,3,Diploma (D1-D4),4,0
